time,input,output
5.590599999997357,2.13,0.0
5.5939999999973224,2.06,0.0
5.597888888886599,2.0,0.0
5.601777777775876,1.93,0.0
5.605666666665154,1.88,0.0
5.60955555555443,1.82,0.0
5.613444444443707,1.76,0.0
5.617333333332984,1.71,0.0
5.621222222222261,1.66,4.49
5.625111111111538,1.71,4.5
5.629000000000815,1.75,4.5
5.632090909091692,1.79,4.5
5.63518181818257,1.83,4.5
5.6382727272734465,1.87,4.5
5.641363636364324,1.9,4.5
5.6444545454552015,1.94,4.5
5.647545454546079,1.97,4.5
5.6506363636369565,2.0,4.48
5.653727272727834,2.04,4.48
5.656818181818711,2.07,4.48
5.659909090909588,2.1,4.48
5.663000000000466,2.13,4.48
5.666700000000128,2.17,4.48
5.67039999999979,2.2,4.48
5.674099999999453,2.23,4.49
5.677799999999115,2.26,4.48
5.681499999998778,2.29,4.48
5.68519999999844,2.31,4.48
5.688899999998102,2.35,4.48
5.692599999997765,2.37,4.48
5.696299999997427,2.4,4.48
5.69999999999709,2.43,4.48
5.7031818181792255,2.46,4.48
5.706363636361361,2.49,4.48
5.7095454545434965,2.51,4.48
5.712727272725632,2.54,4.48
5.715909090907768,2.56,4.48
5.719090909089903,2.59,4.48
5.722272727272039,2.62,4.48
5.725454545454175,2.64,4.48
5.728636363636311,2.67,4.48
5.731818181818446,2.69,4.48
5.735000000000582,2.71,4.48
5.7385000000002035,2.74,4.48
5.741999999999825,2.76,4.48
5.745499999999447,2.79,4.48
5.748999999999069,2.81,4.48
5.75249999999869,2.83,4.48
5.755999999998312,2.86,4.48
5.759499999997933,2.88,4.5
5.762999999997556,2.9,4.48
5.766499999997177,2.92,4.48
5.769999999996799,2.94,4.48
5.773090909087676,2.96,4.48
5.776181818178554,2.99,4.48
5.77927272726943,3.01,4.48
5.782363636360308,3.03,4.48
5.785454545451185,3.05,4.48
5.788545454542063,3.07,4.48
5.79163636363294,3.09,4.48
5.794727272723818,3.11,4.48
5.797818181814694,3.13,4.48
5.800909090905572,3.15,4.48
5.803999999996449,3.17,4.48
5.807299999996758,3.19,4.48
5.810599999997066,3.21,4.48
5.813899999997375,3.23,4.48
5.817199999997683,3.25,4.48
5.820499999997992,3.26,4.48
5.8237999999983,3.28,4.48
5.827099999998609,3.3,4.48
5.830399999998917,3.32,4.48
5.833699999999226,3.33,4.48
5.836999999999534,3.3,0.0
5.840499999999156,3.18,0.0
5.843999999998777,3.07,0.0
5.8474999999984,2.97,0.0
5.850999999998021,2.87,0.0
5.854499999997643,2.78,0.0
5.857999999997264,2.69,0.0
5.8614999999968855,2.61,0.0
5.864999999996508,2.52,0.0
5.868499999996129,2.44,0.0
5.871999999995751,2.36,0.0
5.876111111107296,2.29,0.0
5.88022222221884,2.22,0.0
5.884333333330384,2.15,0.0
5.888444444441928,2.08,0.0
5.892555555553473,2.02,0.0
5.896666666665017,1.95,0.0
5.900777777776562,1.89,0.0
5.904888888888106,1.84,0.0
5.908999999999651,1.78,0.0
5.91236363636298,1.72,0.0
5.9157272727263095,1.67,0.0
5.919090909089639,1.69,4.48
5.922454545452968,1.74,4.5
5.925818181816298,1.78,4.5
5.929181818179628,1.82,4.5
5.932545454542957,1.86,4.5
5.935909090906287,1.89,4.48
5.939272727269616,1.92,4.5
5.942636363632945,1.96,4.5
5.945999999996275,1.99,4.5
5.949090909087152,2.03,4.48
5.95218181817803,2.06,4.48
5.955272727268906,2.09,4.48
5.958363636359784,2.12,4.48
5.961454545450661,2.16,4.48
5.964545454541539,2.19,4.48
5.967636363632416,2.22,4.48
5.970727272723294,2.25,4.48
5.9738181818141705,2.28,4.48
5.976909090905048,2.3,4.48
5.9799999999959255,2.34,4.48
5.983090909086803,2.37,4.48
5.9861818181776805,2.39,4.48
5.989272727268557,2.42,4.48
5.992363636359435,2.45,4.48
5.995454545450312,2.48,4.48
5.99854545454119,2.5,4.48
6.001636363632067,2.53,4.48
6.004727272722945,2.55,4.48
6.007818181813821,2.58,4.48
6.010909090904699,2.61,4.48
6.013999999995576,2.64,4.48
6.017777777773315,2.66,4.48
6.021555555551054,2.69,4.48
6.025333333328793,2.71,4.48
6.029111111106532,2.73,4.48
6.032888888884271,2.76,4.48
6.03666666666201,2.78,4.48
6.040444444439749,2.8,4.48
6.044222222217488,2.83,4.48
6.047999999995227,2.85,4.48
6.051699999995617,2.87,4.48
6.055399999996007,2.9,4.48
6.059099999996397,2.92,4.48
6.062799999996787,2.94,4.48
6.066499999997177,2.96,4.48
6.070199999997567,2.98,4.48
6.073899999997957,3.0,4.48
6.0775999999983465,3.02,4.48
6.081299999998737,3.04,4.48
6.084999999999127,3.06,4.48
6.088363636362456,3.09,4.48
6.091727272725786,3.11,4.48
6.095090909089115,3.13,4.48
6.098454545452444,3.14,4.48
6.101818181815774,3.16,4.48
6.105181818179104,3.18,4.48
6.108545454542433,3.2,4.48
6.111909090905763,3.22,4.49
6.115272727269092,3.24,4.48
6.1186363636324215,3.26,4.48
6.121999999995751,3.28,4.48
6.125090909086628,3.3,4.48
6.128181818177506,3.31,4.48
6.1312727272683825,3.33,4.48
6.13436363635926,3.34,0.0
6.1374545454501375,3.21,0.0
6.140545454541015,3.11,0.0
6.1436363636318925,3.0,0.0
6.14672727272277,2.9,0.0
6.149818181813647,2.81,0.0
6.152909090904524,2.72,0.0
6.155999999995402,2.63,0.0
6.159363636359393,2.55,0.0
6.162727272723384,2.47,0.0
6.166090909087374,2.39,0.0
6.169454545451365,2.31,0.0
6.172818181815356,2.24,0.0
6.176181818179347,2.17,0.0
6.179545454543338,2.1,0.0
6.182909090907329,2.04,0.0
6.186272727271319,1.97,0.0
6.1896363636353104,1.91,0.0
6.1929999999993015,1.86,0.0
6.19677777777704,1.8,0.0
6.2005555555547796,1.74,0.0
6.204333333332518,1.68,0.0
6.208111111110258,1.68,4.48
6.211888888887996,1.72,4.5
6.215666666665736,1.77,4.5
6.219444444443474,1.81,4.5
6.223222222221214,1.84,4.48
6.226999999998952,1.88,4.5
6.230272727271685,1.91,4.5
6.2335454545444176,1.95,4.5
6.23681818181715,1.98,4.5
6.240090909089883,2.02,4.48
6.2433636363626155,2.05,4.48
6.246636363635347,2.08,4.48
6.24990909090808,2.11,4.48
6.2531818181808125,2.14,4.48
6.256454545453545,2.18,4.48
6.259727272726278,2.21,4.48
6.2629999999990105,2.24,4.48
6.266181818180485,2.27,4.48
6.269363636361959,2.3,4.48
6.272545454543433,2.33,4.48
6.275727272724907,2.35,4.48
6.278909090906382,2.38,4.49
6.282090909087856,2.41,4.48
6.28527272726933,2.44,4.48
6.288454545450804,2.47,4.48
6.2916363636322785,2.5,4.48
6.294818181813753,2.52,4.48
6.297999999995227,2.55,4.48
6.3012999999955355,2.57,4.48
6.304599999995844,2.6,4.48
6.3078999999961525,2.63,4.48
6.311199999996461,2.65,4.48
6.3144999999967695,2.68,4.48
6.317799999997078,2.7,4.48
6.3210999999973865,2.72,4.48
6.324399999997695,2.75,4.48
6.3276999999980035,2.77,4.48
6.330999999998312,2.79,4.48
6.3340909090891895,2.82,4.48
6.337181818180067,2.84,4.48
6.340272727270944,2.87,4.48
6.343363636361821,2.89,4.48
6.346454545452699,2.91,4.48
6.349545454543576,2.93,4.48
6.352636363634454,2.95,4.48
6.355727272725331,2.97,4.48
6.358818181816208,2.99,4.48
6.361909090907085,3.02,4.48
6.364999999997963,3.04,4.48
6.368666666664972,3.06,4.48
6.372333333331982,3.08,4.48
6.375999999998991,3.1,4.48
6.379666666666001,3.12,4.48
6.38333333333301,3.14,4.48
6.387000000000019,3.15,4.48
6.390666666667029,3.17,4.48
6.394333333334038,3.19,4.48
6.398000000001048,3.21,4.48
6.401400000001013,3.23,4.48
6.404800000000978,3.25,4.48
6.408200000000943,3.27,4.48
6.411600000000908,3.29,4.48
6.415000000000873,3.31,4.48
6.4184000000008385,3.33,4.48
6.421800000000803,3.34,4.48
6.4252000000007685,3.25,0.0
6.428600000000733,3.13,0.0
6.4320000000006985,3.03,0.0
6.435600000000704,2.93,0.0
6.43920000000071,2.84,0.0
6.442800000000716,2.74,0.0
6.446400000000722,2.66,0.0
6.450000000000728,2.57,0.0
6.453600000000733,2.49,0.0
6.457200000000739,2.41,0.0
6.460800000000745,2.34,0.0
6.464400000000751,2.27,0.0
6.468000000000757,2.19,0.0
6.4716000000007625,2.12,0.0
6.475200000000768,2.06,0.0
6.478800000000774,1.99,0.0
6.48240000000078,1.93,0.0
6.486000000000786,1.87,0.0
6.489600000000792,1.81,0.0
6.4932000000007974,1.76,0.0
6.496800000000803,1.7,0.0
6.500400000000809,1.66,4.49
6.504000000000815,1.71,4.5
6.507600000000821,1.76,4.5
6.5112000000008265,1.79,4.5
6.514800000000832,1.83,4.5
6.518400000000838,1.87,4.5
6.522000000000844,1.9,4.5
6.52560000000085,1.94,4.5
6.529200000000856,1.97,4.5
6.5328000000008615,2.01,4.48
6.536400000000867,2.04,4.48
6.540000000000873,2.08,4.48
6.543000000000492,2.1,4.48
6.546000000000111,2.14,4.49
6.54899999999973,2.17,4.48
6.5519999999993495,2.2,4.48
6.5549999999989685,2.23,4.48
6.557999999998587,2.26,4.48
6.560999999998206,2.29,4.48
6.563999999997825,2.32,4.48
6.566999999997444,2.35,4.48
6.569999999997063,2.38,4.48
6.572999999996682,2.4,4.48
6.576599999996688,2.43,4.48
6.580199999996694,2.46,4.48
6.5837999999967,2.49,4.48
6.5873999999967054,2.51,4.48
6.590999999996711,2.54,4.48
6.594599999996717,2.56,4.48
6.598199999996723,2.59,4.48
6.601799999996729,2.62,4.48
6.6053999999967346,2.64,4.48
6.60899999999674,2.67,4.48
6.612599999996746,2.69,4.48
6.616199999996752,2.72,4.48
6.619799999996758,2.74,4.48
6.623399999996764,2.76,4.48
6.6269999999967695,2.79,4.48
6.630599999996775,2.81,4.49
6.634199999996781,2.84,4.48
6.637799999996787,2.86,4.48
6.641399999996793,2.88,4.48
6.644999999996799,2.9,4.48
6.648454545451386,2.92,4.48
6.651909090905974,2.95,4.48
6.655363636360562,2.97,4.48
6.65881818181515,2.99,4.48
6.6622727272697375,3.01,4.48
6.665727272724325,3.03,4.48
6.669181818178913,3.05,4.48
6.672636363633501,3.07,4.48
6.676090909088089,3.09,4.48
6.6795454545426765,3.11,4.48
6.682999999997264,3.13,4.48
6.686363636361255,3.15,4.48
6.689727272725246,3.17,4.48
6.6930909090892365,3.19,4.48
6.696454545453228,3.21,4.48
6.699818181817219,3.23,4.48
6.70318181818121,3.24,4.48
6.706545454545201,3.27,4.48
6.709909090909192,3.28,4.48
6.713272727273182,3.3,4.48
6.716636363637173,3.32,4.49
6.720000000001164,3.33,4.48
6.723181818182638,3.29,0.0
6.726363636364113,3.17,0.0
6.729545454545587,3.07,0.0
6.732727272727061,2.96,0.0
6.735909090908535,2.87,0.0
6.7390909090900095,2.77,0.0
6.742272727271484,2.69,0.0
6.745454545452958,2.6,0.0
6.748636363634432,2.52,0.0
6.751818181815906,2.44,0.0
6.754999999997381,2.36,0.0
6.757999999997661,2.29,0.0
6.760999999997941,2.22,0.0
6.763999999998222,2.14,0.0
6.766999999998503,2.08,0.0
6.769999999998783,2.01,0.0
6.7729999999990635,1.95,0.0
6.775999999999343,1.89,0.0
6.778999999999624,1.83,0.0
6.781999999999905,1.77,0.0
6.785000000000185,1.72,0.0
6.788000000000466,1.67,0.0
6.791666666666667,1.7,4.5
6.795333333332867,1.74,4.48
6.798999999999069,1.78,4.5
6.80266666666527,1.82,4.5
6.80633333333147,1.86,4.5
6.809999999997672,1.89,4.5
6.813666666663873,1.93,4.48
6.817333333330073,1.96,4.5
6.820999999996275,2.0,4.5
6.824799999996321,2.03,4.48
6.828599999996368,2.06,4.48
6.832399999996414,2.09,4.48
6.836199999996461,2.13,4.48
6.8399999999965075,2.16,4.48
6.843799999996554,2.19,4.48
6.847599999996601,2.22,4.48
6.851399999996647,2.25,4.48
6.855199999996694,2.28,4.48
6.85899999999674,2.31,4.48
6.861999999997021,2.34,4.48
6.864999999997301,2.37,4.48
6.867999999997582,2.39,4.48
6.870999999997863,2.42,4.48
6.8739999999981425,2.45,4.48
6.876999999998423,2.48,4.48
6.879999999998703,2.5,4.48
6.882999999998984,2.53,4.48
6.885999999999265,2.56,4.48
6.888999999999545,2.58,4.48
6.891999999999825,2.61,4.48
6.897299999999814,2.64,4.48
6.9025999999998024,2.66,4.48
6.90789999999979,2.69,4.48
6.913199999999779,2.71,4.48
6.918499999999767,2.73,4.48
6.923799999999756,2.75,4.48
6.929099999999744,2.78,4.48
6.934399999999732,2.81,4.48
6.93969999999972,2.83,4.48
6.944999999999709,2.85,4.48
6.946399999999752,2.87,4.48
6.947799999999794,2.9,4.48
6.949199999999837,2.92,4.48
6.95059999999988,2.94,4.48
6.951999999999923,2.96,4.48
6.953399999999965,2.98,4.48
6.954800000000008,3.0,4.48
6.956200000000051,3.03,4.48
6.9576000000000935,3.04,4.48
6.9590000000001355,3.07,4.48
6.9604000000001784,3.09,4.48
6.961800000000221,3.11,4.48
6.963200000000264,3.13,4.48
6.964600000000306,3.14,4.48
6.966000000000349,3.16,4.49
6.970624999999927,3.18,4.48
6.975249999999505,3.2,4.48
6.979874999999083,3.22,4.48
6.984499999998661,3.24,4.48
6.989124999998239,3.26,4.48
6.993749999997817,3.28,4.48
6.998374999997395,3.3,4.48
7.002999999996973,3.32,4.48
7.006399999996939,3.33,4.48
7.009799999996903,3.33,0.0
7.013199999996869,3.21,0.0
7.016599999996833,3.1,0.0
7.019999999996799,2.99,0.0
7.023399999996764,2.9,0.0
7.0267999999967286,2.8,0.0
7.030199999996694,2.71,0.0
7.0335999999966585,2.63,0.0
7.036999999996624,2.54,0.0
7.04059999999663,2.46,0.0
7.044199999996636,2.39,0.0
7.047799999996641,2.31,0.0
7.051399999996647,2.24,0.0
7.054999999996653,2.17,0.0
7.058599999996659,2.1,0.0
7.062199999996665,2.03,0.0
7.0657999999966705,1.97,0.0
7.069399999996676,1.91,0.0
7.072999999996682,1.85,0.0
7.076272727269415,1.79,0.0
7.0795454545421475,1.74,0.0
7.08281818181488,1.68,0.0
7.086090909087613,1.68,4.5
7.089363636360345,1.73,4.48
7.092636363633077,1.77,4.5
7.09590909090581,1.81,4.5
7.099181818178542,1.84,4.5
7.102454545451275,1.88,4.5
7.105727272724008,1.92,4.5
7.10899999999674,1.95,4.5
7.112299999997049,1.99,4.5
7.115599999997357,2.02,4.48
7.118899999997666,2.05,4.48
7.122199999997974,2.08,4.48
7.125499999998283,2.12,4.48
7.128799999998591,2.15,4.48
7.1320999999989,2.18,4.48
7.135399999999208,2.21,4.48
7.138699999999517,2.24,4.48
7.141999999999825,2.27,4.48
7.145499999999447,2.3,4.49
7.148999999999068,2.33,4.48
7.152499999998691,2.36,4.48
7.155999999998312,2.38,4.48
7.159499999997934,2.41,4.48
7.162999999997555,2.44,4.48
7.166499999997177,2.47,4.48
7.169999999996799,2.5,4.48
7.17349999999642,2.52,4.48
7.176999999996042,2.55,4.48
7.180399999996007,2.57,4.48
7.183799999995972,2.6,4.48
7.187199999995937,2.63,4.48
7.190599999995902,2.65,4.48
7.193999999995867,2.68,4.48
7.197399999995833,2.7,4.48
7.200799999995797,2.72,4.48
7.204199999995763,2.75,4.48
7.207599999995727,2.77,4.48
7.210999999995693,2.8,4.48
7.2144999999960415,2.82,4.48
7.217999999996391,2.84,4.48
7.22149999999674,2.87,4.48
7.22499999999709,2.89,4.48
7.228499999997439,2.91,4.48
7.231999999997788,2.93,4.48
7.2354999999981375,2.95,4.48
7.238999999998486,2.97,4.48
7.242499999998836,3.0,4.48
7.245999999999185,3.02,4.48
7.249090909090063,3.04,4.48
7.25218181818094,3.06,4.48
7.255272727271817,3.08,4.48
7.258363636362694,3.1,4.48
7.261454545453572,3.12,4.48
7.264545454544449,3.14,4.48
7.267636363635327,3.16,4.48
7.270727272726204,3.18,4.48
7.273818181817081,3.2,4.48
7.276909090907958,3.21,4.48
7.279999999998836,3.24,4.48
7.283666666665037,3.25,4.48
7.287333333331238,3.27,4.48
7.290999999997439,3.29,4.48
7.29466666666364,3.31,4.48
7.298333333329841,3.33,4.48
7.301999999996042,3.34,4.48
7.305666666662243,3.24,0.0
7.309333333328444,3.13,0.0
7.312999999994645,3.03,0.0
7.316399999995338,2.92,0.0
7.319799999996031,2.83,0.0
7.3231999999967226,2.74,0.0
7.326599999997415,2.65,0.0
7.329999999998108,2.57,0.0
7.333399999998801,2.49,0.0
7.336799999999494,2.41,0.0
7.340200000000186,2.33,0.0
7.343600000000879,2.26,0.0
7.347000000001572,2.19,0.0
7.350090909092449,2.12,0.0
7.353181818183327,2.06,0.0
7.356272727274203,1.99,0.0
7.359363636365081,1.93,0.0
7.362454545455958,1.87,0.0
7.365545454546836,1.81,0.0
7.368636363637713,1.76,0.0
7.371727272728591,1.7,0.0
